id товара;наименование;ссылка на товар;промо цена;регулярная цена;бренд
220013;Кофе Julius Meinl Cafe Crema Gourmet в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-cafe-crema-gourmet-zerno;1 859;1 859;JULIUS MEINL
117405;Кофе в капсулах Julius Meinl Lungo Classico Bio для кофемашин Nespresso 10шт, 56г x 10 шт;https://online.metro-cc.ru/products/56g-10-julius-meinl-v-biorazl-kaps-lungo-klassiko;5 290;5 290;JULIUS MEINL
228234;Кофе Jardin Gold растворимый, 240г;https://online.metro-cc.ru/products/240g-kofe-jardin-gold-rastvorimyy;769;769;JARDIN
112990;Кофе Carraro Arabica 100% в зернах, 500г;https://online.metro-cc.ru/products/v-zernah-carraro-arabica-100-500-g;1 349;1 539;CARRARO
616531;Кофе Жокей Фаворит растворимый гранулированный, 75г;https://online.metro-cc.ru/products/zhokej-favorit-granulirovannyj150-g;297;297;ЖОКЕЙ
228240;Кофе Жокей Триумф растворимый, 280г;https://online.metro-cc.ru/products/280g-kofe-zhokey-triumf-rastvorimyy;549;769;ЖОКЕЙ
228244;Кофе Жокей Фаворит растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-zhokey-favorit-rastvorimyy-stb;263;263;ЖОКЕЙ
246091;Кофе Живой кофе мокка молотый, 200г;https://online.metro-cc.ru/products/kofe-zhivoy-kofe-mokka-molotyy-200g;299;419;ЖИВОЙ КОФЕ
248730;Кофе Monarch капучино растворимый (15г x 20шт), 300г;https://online.metro-cc.ru/products/20shth15g-kofe-monarch-kapuchino-rastvorimyy;699;699;MONARCH
119134;Кофе Jardin Columbia Supremo молотый, 250г;https://online.metro-cc.ru/products/250g-jardin-kolumbiya-supremo-mol;669;669;JARDIN
119130;Кофе Жокей Классический молотый, 450г;https://online.metro-cc.ru/products/450g-zhokej-klassicheskij-mol;449;739;ЖОКЕЙ
235419;Кофе Miscela D'Oro Espresso Intenso в зернах, 1кг;https://online.metro-cc.ru/products/kofe-miscela-doro-espresso-intenso-v-zernah-1kg;1 599;1 839;MISCELA D'ORO
232417;Кофе Jardin Colombia Medellin растворимый, 240г;https://online.metro-cc.ru/products/240g-kofe-jardin-colombia-medellin-rastvorimyy;549;929;JARDIN
220015;Кофе Julius Meinl Espresso Gran Aroma в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-gran-aroma-zerno;1 859;1 859;JULIUS MEINL
18346;Кофе Carte Noire Instinct растворимый, 95г x 6 шт;https://online.metro-cc.ru/products/art-18346;2 634;2 634;CARTE NOIRE
611605;Кофе Illy средней обжарки молотый, 250г;https://online.metro-cc.ru/products/illy-srednej-obzharki-250g;1 149;1 149;ILLY
218710;Кофе Poetti Daily Mokka молотый, 250г;https://online.metro-cc.ru/products/250g-kofe-poetti-daily-mokka-molotyy;269;319;POETTI
125676;Кофе Lebo Classic молотый для турки, 200г;https://online.metro-cc.ru/products/200g-lebo-classic-dlya-turki;219;262;LEBO CLASSIC
243173;RIOBA Кофе в капсулах Dolce Gusto Grande Intenso 16шт, 112г х 3 шт;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-grande-intenso-16sht-112g-h-3-sht;1 587;1 587;RIOBA
59570;Кофе Illy Guatemala arabica selection в зернах, 250г;https://online.metro-cc.ru/products/v-zernah-illy-guatemala-zh-b-250-g;1 149;1 149;ILLY
